Country,American Samoa,Canada,Costa Rica,Dominica,Guam,Guatemala,Honduras,Jamaica,Mexico,Puerto Rico,Trinidad and Tobago ,United States,Virgin Islands,Argentina,Bolivia,Brazil,Chile,Colombia,Paraguay,Peru,Uruguay,Venezuela,Algeria,Cameroon,Egypt,Ethiopia,Ghana,Kenya,Madagascar,Morocco,Senegal,South Africa,Swaziland,Togo,Zimbabwe,Albania,Andorra,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bermuda,Bosnia,British Virgin Islands,Bulgaria,Cayman Islands,Croatia,Cyprus,Czech Republic,Czechoslovakia,Denmark ,East Germany,Estonia,Finland,France,Georgia,Germany,Great Britain,Greece,Hungary,Iceland,Ireland,Italy,Latvia,Liechtenstein,Lithuania,Luxemburg,"Macedonia, the former Yugoslav Republic of",Malta,Moldova,Monaco,Montenegro,Netherlands,Netherlands Antilles,Norway,Poland,Portugal,Romania,San Marino,Serbia,Serbia and Montenegro,Slovakia,Slovenia,Spain,Sweden,Switzerland,Ukraine,West Germany,Yugoslavia,China,Chinese Taipei,Hong Kong,India,Iran,Israel,Japan,Kazakhstan,Kyrgyzstan,Lebanon,Mongolia,Nepal,North Korea,Pakistan,Philippines,Russia,South Korea,Soviet Union,Tajikistan,Thailand,Timor-Leste,Turkey,Uzbekistan,Australia,Fiji,New Zealand,Tonga,Individual Olympic Athletes,Unified Team
Country Shape File,American Samoa,Canada,Costa Rica,Dominica,Guam,Guatemala,Honduras,Jamaica,Mexico,Puerto Rico,Trinidad and Tobago ,United States of America,Virgin Islands,Argentina,Bolivia,Brazil,Chile,Colombia,Paraguay,Peru,Uruguay,Venezuela,Algeria,Cameroon,Egypt,Ethiopia,Ghana,Kenya,Madagascar,Morocco,Senegal,South Africa,Swaziland,Togo,Zimbabwe,Albania,Andorra,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bermuda,Bosnia and Herzegovina,British Virgin Islands,Bulgaria,Cayman Islands,Croatia,Cyprus,Czech Republic,NAN,Denmark ,Germany,Estonia,Finland,France,Georgia,Germany,United Kingdom,Greece,Hungary,Iceland,Ireland,Italy,Latvia,Liechtenstein,Lithuania,Luxemburg,Macedonia,Malta,Moldova,Monaco,Montenegro,Netherlands,Netherlands,Norway,Poland,Portugal,Romania,San Marino,Serbia,NAN,Slovakia,Slovenia,Spain,Sweden,Switzerland,Ukraine,Germany,NAN,China,Taiwan,Hong Kong,India,Iran,Israel,Japan,Kazakhstan,Kyrgyzstan,Lebanon,Mongolia,Nepal,North Korea,Pakistan,Philippines,Russia,South Korea,NAN,Tajikistan,Thailand,East Timor,Turkey,Uzbekistan,Australia,Fiji,New Zealand,Tonga,India,NAN
Alpha-2 code,AS,CA,CR,DM,GU,GT,HN,JM,MX,PR,TT,US,VI,AR,BO,BR,CL,CO,PY,PE,UY,VE,DZ,CM,EG,ET,GH,KE,MG,MA,SN,ZA,SZ,TG,ZW,AL,AD,AM,AT,AZ,BY,BE,BM,BA,VG,BG,KY,HR,CY,CZ,CS,DK,DE,EE,FI,FR,GE,DE,GB,GR,HU,IS,IE,IT,LV,LI,LT,LU,MK,MT,MD,MC,ME,NL,AN,NO,PL,PT,RO,SM,RS,CS,SK,SI,ES,SE,CH,UA,DE,YU,CN,TW,HK,IN,IR,IL,JP,KZ,KG,LB,MN,NP,KP,PK,PH,RU,KR,SU,TJ,TH,TL,TR,UZ,AU,FJ,NZ,TO,IO,IO
Alpha-3 code,ASM,CAN,CRI,DMA,GUM,GTM,HND,JAM,MEX,PRI,TTO,USA,VIR,ARG,BOL,BRA,CHL,COL,PRY,PER,URY,VEN,DZA,CMR,EGY,ETH,GHA,KEN,MDG,MAR,SEN,ZAF,SWZ,TGO,ZWE,ALB,AND,ARM,AUT,AZE,BLR,BEL,BMU,BIH,VGB,BGR,CYM,HRV,CYP,CZE,CSK,DNK,DEU,EST,FIN,FRA,GEO,DEU,GBR,GRC,HUN,ISL,IRL,ITA,LVA,LIE,LTU,LUX,MKD,MLT,MDA,MCO,MNE,NLD,ANT,NOR,POL,PRT,ROU,SMR,SRB,SCG,SVK,SVN,ESP,SWE,CHE,UKR,DEU,YUG,CHN,TWN,HKG,IND,IRN,ISR,JPN,KAZ,KGZ,LBN,MNG,NPL,PRK,PAK,PHL,RUS,KOR,SUN,TJK,THA,TLS,TUR,UZB,AUS,FJI,NZL,TON,,
Numeric code,16,124,188,212,316,320,340,388,484,630,780,840,850,32,68,76,152,170,600,604,858,862,12,120,818,231,288,404,450,504,686,710,748,768,716,8,20,51,40,31,112,56,60,70,92,100,136,191,196,203,200,208,278,233,246,250,268,276,826,300,348,352,372,380,428,438,440,442,807,470,498,492,499,528,530,578,616,620,642,674,688,891,703,705,724,752,756,804,280,891,156,158,344,356,364,376,392,398,417,422,496,524,408,586,608,643,410,810,762,764,626,792,860,36,242,554,776,,
Latitude (average),-14.3333,60,10,15.4167,13.4667,15.5,15,18.25,23,18.25,11,38,18.3333,-34,-17,-10,-30,4,-23,-10,-33,8,28,6,27,8,8,1,-20,32,14,-29,-26.5,8,-20,41,42.5,40,47.3333,40.5,53,50.8333,32.3333,44,18.5,43,19.5,45.1667,35,49.75,49.75,56,51,59,64,46,42,51,54,39,47,65,53,42.8333,57,47.1667,56,49.75,41.8333,35.8333,47,43.7333,42,52.5,12.25,62,52,39.5,46,43.7667,44,44.8167,48.6667,46,40,62,47,49,51,44.8206,35,23.5,22.25,20,32,31.5,36,48,41,33.8333,46,28,40,30,13,60,37,55.75,39,15,-8.55,39,41,-27,-18,-41,-20,20,55.75
Longitude (average),-170,-95,-84,-61.3333,144.7833,-90.25,-86.5,-77.5,-102,-66.5,-61,-97,-64.8333,-64,-65,-55,-71,-72,-58,-76,-56,-66,3,12,30,38,-2,38,47,-5,-14,24,31.5,1.1667,30,20,1.6,45,13.3333,47.5,28,4,-64.75,18,-64.5,25,-80.5,15.5,33,15.5,15.5,10,9,26,26,2,43.5,9,-2,22,20,-18,-8,12.8333,25,9.5333,24,6.1667,22,14.5833,29,7.4,19,5.75,-68.75,10,20,-8,25,12.4167,21,20.4667,19.5,15,-4,15,8,32,9,20.4622,105,121,114.1667,77,53,34.75,138,68,75,35.8333,105,84,127,70,122,100,127.5,37.6167,71,100,125.5167,35,64,133,175,174,-175,77,37.6167
Population (2012),55128,34880491,4805295,71684,15082831,162810,7935846,2712100,120847477,3667084,1337439,313914040,105275,41086927,10496285,198656019,17464814,47704427,6687361,29987800,3395253,29954782,38481705,21699631,80721874,91728849,25366462,43178141,22293914,32521143,13726021,51189306.61,1230985,6642928,13724317,3162083,78360,2969081,8462446,9297507,9464000,11142157,64806,3833916,27800,7304632,57570,4267000,1128994,10514810,15600000,5590478,16666,1339396,5414293,65696689,4511800,81889839,63227526,11280167,9943755,320137,4588798,60917978,2025473,36656,2985509,531441,2105575,418366,3559541,37579,621081,16767705,227049,5018869,38542737,10526703,21326905,31247,7223887,10830000,5410267,2058152,46217961,9516617,7997152,45593300,63250000,23720000,1350695000,23268087,7154600,1236686732,76424443,7907900,127561489,16797459,5582100,4424888,2796484,27474377,24763188,179160111,96706764,143533000,50004000,293000000,8008990,66785001,1210233,73997128,29776850,22683600,874742,4433100,104941,,293000000
GDP,333800000,1.82142E+12,45103963693,479688889,2773000000,50233749191,18434022403,14755051129,1.17813E+12,1.01496E+11,23320256743,1.62446E+13,1996000000,4.75502E+11,27035110130,2.25266E+12,2.69869E+11,3.69606E+11,25502060502,2.0379E+11,49919727146,3.81286E+11,2.05789E+11,25321590402,2.62832E+11,41605361646,40710781539,40697163224,9975124872,95981572517,14045759802,3.843E+11,3744472287,3813834650,9802360203,12648095824,3712000000,9950522733,3.94708E+11,66604589419,63267017440,4.83262E+11,5473536000,17465958606,839700000,50972109857,1012000000,59228247411,22766912960,1.96446E+11,56000000000,3.14887E+11,,22390242609,2.47546E+11,2.61288E+12,15747288816,3.42813E+12,2.47178E+12,2.49099E+11,1.246E+11,13578943167,2.10771E+11,2.01467E+12,28372577697,4826167676,42343521966,55178452044,9612518136,8721923077,7252769934,6074506533,4373170812,7.70555E+11,4000000000,4.99667E+11,4.89795E+11,2.12274E+11,1.92711E+11,1899809580,37488935010,25980000000,91148717949,45279487180,1.32296E+12,5.23806E+11,6.31173E+11,1.76309E+11,,120100000,8.2271E+12,4.74E+11,2.63259E+11,1.84171E+12,5.1406E+11,2.58217E+11,5.95972E+12,2.03521E+11,6474843799,42945273632,10271393281,18962962963,12380000000,2.25143E+11,2.50182E+11,2.01477E+12,1.1296E+12,2.2E+12,6972163026,3.65966E+11,1293000000,7.89257E+11,51112745669,1.53241E+12,3907563305,1.67347E+11,471575497.3,,
Land Area (sq km),,9093510,51060,750,540,107160,111890,10830,1943950,8870,5130,9147420,350,2736690,1083300,8459420,743532,1109500,397300,1280000,175020,882050,200,472710,995450,1000000,227540,569140,581540,446300,192530,1213090,17200,54390,386850,27400,470,28480,82409,82658,202910,30280,50,51000,,108560,240,,9240,77240,,42430,,42390,303890,547660,69490,348570,241930,128900,90530,100250,68890,294140,62200,160,62674,2590,25220,320,32854,2,13450,33730,,304250,304150,91470,230160,60,87460,,48088,20140,498800,410340,40000,579320,,,9327489.9,,1042,2973190,1628550,21640,364500,2699700,191800,10230,1553560,143350,120410,770880,298170,16376870,97100,,139960,510890,14870,769630,425400,7682300,18270,263310,720,,
CO2 emissions (kt),,499137.372,7770.373,135.679,,11118.344,8107.737,7157.984,443673.997,,50681.607,5433056.536,,180511.742,15456.405,419754.156,72258.235,75679.546,5075.128,57579.234,6644.604,201747.339,,7234.991,204776.281,6494.257,8998.818,12427.463,2013.183,50608.267,7058.975,460124.159,1023.093,1540.14,9427.857,4283.056,517.047,4220.717,66897.081,45731.157,62221.656,108946.57,476.71,31125.496,,44678.728,590.387,,7708.034,111751.825,,46303.209,,18338.667,61843.955,361272.84,6241.234,745383.756,493504.86,86717.216,50582.598,1961.845,39999.636,406307.267,7616.359,,13560.566,10828.651,10872.655,2588.902,4855.108,,2581.568,182077.551,,57186.865,317254.172,52361.093,78745.158,,45962.178,,36094.281,15328.06,269674.847,52515.107,,304804.707,,,8286891.952,,36288.632,2008822.937,571611.96,70655.756,1170715.419,248728.943,6398.915,20403.188,11510.713,3755.008,71623.844,161395.671,81590.75,1740776.238,567567.259,,2860.26,295281.508,183.35,298002.422,104443.494,373080.58,1290.784,31550.868,157.681,,
Continent,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,South America,South America,South America,South America,South America,South America,South America,South America,South America,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Oceania,Oceania,Oceania,Oceania,,
1924,,12,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,18,,,,,,,,,27,,,,17,43,,,44,,4,,,23,2,,, ,,,,,,,,14,7,,,,,,,,,31,30,,,4,,,,7,,,,,,,,1,,,,,,,,,,,,,,,,,
Men,,11,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,17,,,,,,,,,27,,,,16,41,,,43,,4,,,23,2,,, ,,,,,,,,13,7,,,,,,,,,31,30,,,4,,,,7,,,,,,,,1,,,,,,,,,,,,,,,,,
Women,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,0,,,,1,2,,,1,,0,,,0,0,,, ,,,,,,,,1,0,,,,,,,,,0,0,,,0,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,
Sports,,3,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,4,,,,,,,,,6,,,,6,9,,,6,,2,,,4,2,,, ,,,,,,,,5,5,,,,,,,,,7,7,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,
Gold,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,0,,,,,,,,,0,,,,4,0,,,1,,0,,,0,0,,, ,,,,,,,,4,0,,,,,,,,,1,2,,,0,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,
Silver,,0,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,,,,,0,,,,3,0,,,1,,0,,,0,0,,, ,,,,,,,,7,0,,,,,,,,,1,0,,,0,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,
Bronze,,0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,,,,,,,,,0,,,,3,2,,,2,,0,,,0,0,,, ,,,,,,,,6,0,,,,,,,,,0,1,,,0,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,
Total M,,1,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,,0,,,,10,2,,,4,,0,,,0,0,,, ,,,,,,,,17,0,,,,,,,,,2,3,,,0,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,
Distance,,3912.246178,,,,,,,,,,4969.720491,,,,,,,,,,,,,,,,,,,,,,,,,,,321.8617211,,,364.0606732,,,,,,,,,479.5215809,,,,1449.345053,234.0462256,,,682.5310068,,628.9435402,,,363.7839464,1087.305159,,,,,,,,,,,1118.384664,727.4298199,,,,,,,,,1157.459029,91.86664485,,,663.6936853,,,,4293.346031,,,,,,,,4265.53461,,,,,,,,,,,,,,,,,
1928,,23,,,,,,,5,,,24,,10,,,,,,,,,,,,,,,,,,,,,,,,,39,,,25,,,,,,,,,25,,,2,18,38,,44,32,,13,,,13,1,,1,5,,,,,,7,,25,26,,10,,,,25,,,24,41,,,6,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,
Men,,20,,,,,,,5,,,21,,10,,,,,,,,,,,,,,,,,,,,,,,,,34,,,24,,,,,,,,,24,,,2,17,36,,39,30,,13,,,13,1,,1,5,,,,,,7,,22,26,,10,,,,24,,,24,40,,,6,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,
Women,,3,,,,,,,0,,,3,,0,,,,,,,,,,,,,,,,,,,,,,,,,5,,,1,,,,,,,,,1,,,0,1,2,,5,2,,0,,,0,0,,0,0,,,,,,0,,3,0,,0,,,,1,,,0,1,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Sports,,6,,,,,,,1,,,7,,1,,,,,,,,,,,,,,,,,,,,,,,,,8,,,3,,,,,,,,,5,,,1,5,8,,7,5,,4,,,5,1,,1,1,,,,,,2,,5,5,,1,,,,,,,6,7,,,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
Gold,,1,,,,,,,0,,,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,0,,,0,2,1,,0,0,,0,,,0,0,,0,0,,,,,,0,,6,0,,0,,,,0,,,2,0,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Silver,,0,,,,,,,0,,,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,3,,,0,,,,,,,,,0,,,0,1,0,,0,0,,0,,,0,0,,0,0,,,,,,0,,4,0,,0,,,,0,,,2,0,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Bronze,,0,,,,,,,0,,,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,1,,,0,1,0,,1,1,,0,,,0,0,,0,0,,,,,,0,,5,0,,0,,,,1,,,1,1,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Total M,,1,,,,,,,0,,,6,,0,,,,,,,,,,,,,,,,,,,,,,,,,4,,,1,,,,,,,,,1,,,0,4,1,,1,1,,0,,,0,0,,0,0,,,,,,0,,15,0,,0,,,,1,,,5,1,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Distance,,3962.043431,,,,,,,6032.622267,,,5058.546412,,7209.420806,,,,,,,,,,,,,,,,,,,,,,,,,175.0092116,,,400.5975259,,,,,,,,,344.5939489,,,1091.44333,1358.219002,375.914119,,313.4006407,734.7182779,,482.477882,,,293.2263184,969.4783108,,895.031904,281.1911772,,,,,,453.3211313,,1071.573894,594.9216167,,724.7666678,,,,474.6101215,,,1090.846145,93.46414581,,,526.0792006,,,,,,,5895.831203,,,,,,,,,,,,,,,,,,,,,,
1932,,42,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,5,,,,,,,,,6,,,,7,8,,20,4,,4,,,12,5,,,4,,,,,,,,19,15,,1,,,,,,,12,7,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,
Men,,38,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,4,,,,,,,,,6,,,,7,7,,20,0,,2,,,12,5,,,4,,,,,,,,18,15,,1,,,,,,,11,7,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,
Women,,4,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,0,,,,0,1,,0,4,,2,,,0,0,,,0,,,,,,,,1,0,,0,,,,,,,1,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Sports,,6,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,2,,,,,,,,,4,,,,3,3,,3,1,,1,,,4,2,,,2,,,,,,,,5,4,,1,,,,,,,5,3,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,
Gold,,1,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,,,,,0,,,,1,1,,0,0,,0,,,0,0,,,0,,,,,,,,3,0,,0,,,,,,,1,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Silver,,1,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,,,,,0,,,,1,0,,0,0,,0,,,0,1,,,0,,,,,,,,4,0,,0,,,,,,,2,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Bronze,,5,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,0,,,,1,0,,2,0,,0,,,0,0,,,0,,,,,,,,3,0,,0,,,,,,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Total M,,7,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,0,,,,,,,,,0,,,,3,1,,2,0,,0,,,0,1,,,0,,,,,,,,10,0,,0,,,,,,,3,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Distance,,1392.755686,,,,,,,,,,1269.37774,,,,,,,,,,,,,,,,,,,,,,,,,,,3980.676167,,,3494.332253,,,,,,,,,3976.192047,,,,3804.321961,3559.404532,,3684.644204,3178.135097,,4253.601127,,,4130.353725,4034.033999,,,3613.128946,,,,,,,,3410.203684,4057.767866,,4484.936816,,,,,,,3560.615684,3777.319997,,,,,,,,,,6542.373796,,,,,,,,,,,,,,,,,,,,,,
